title	link	main text	reply text
女领导pua套路一次次在我面前上演	https://www.douban.com/group/topic/231337291/	['领导一个个套路温良小白兔给她主动996\n令我眼界大开：\n首先，主动分享自己与圈里人的互动 \n证明自己人脉广；\n再来亲昵喊你某某子、调侃你的日常\n拉进关系；\n外加笑眯眯地说你和对接人员关系升温，炒作暧昧关系；\n最后主动送你回家，请你吃饭，约你游玩，反复洗脑。\n\n一旦觉察不太对 自己怎么这么累\n她又关怀备至的与你1v1对谈\n尖锐的指出你的工作问题，说“咱们可不能这样啊~”\n随即回顾自己的职业经历传道解惑，时时刻刻一副“姐妹，我都是为你好啊”的样子\n最最后，鼓励再三:“其实你蛮好的，改改我刚才说的就行”\n']	['一毛一样', '一毛一样', '可以说有过之无不及了。', '一毛一样+1', '警惕女领导女同事']
收集 同级同事pua  才tm🤢	https://www.douban.com/group/topic/253336886/	['哈哈哈lz最近经历被同级同事pua（注意是同级同事，不是上司呦！）', '想必有人也有相同的经历吧，哈哈哈哈哈哈大家来聊聊留下相同遭遇一起吐吐槽～']	['被同级同事指使做事 说话对我特别横 就命令似的那种 还对我各种pua 就因为我是新人 其实大家都是打工人', '大家也有过这么情况吗？都是怎么解决的？', '刚发现原来我被PUA, 也是遭遇同事的PUA，恶心', '对 就是同级别的 还不是领导 就各种招数白嫖你的工作成果']
第一次知道，原来我一直在被pua	https://www.douban.com/group/topic/251417210/	['今天和同事正面杠了，哭了一早上，出去和喝朋友喝酒聊天，朋友告诉我让我了解一下职场pua，看过各种文以后，原来我一直都在被pua。', '从进入这个国企做财务助理以后，我一直谨小慎微，觉得自己半路出家，小白一个，要谦虚，要勤快，要自己有眼色的找活干，对于安排的各种工作都毫无怨言的接着，有很多工作超出了我的能力范围的时候，我提出说我不太懂这方面，会计就会很强硬的告诉我不会你就去学呀，我这是在锻炼你呀，你怎么这么点事情都干不好呀，你是不是不愿意干工作呀，等等……然后久而久之我就拼命的认为是我的问题，是我能力不行，人家为我好，我要多学多干。而且还不停的跟我说，年轻人多干点工作，多劳多得，其实我拿着最低层的工资，而且会计还到别人面前说觉得我应该拿的更少，她自己天天拿着高薪摸鱼玩手机，但是特别善于伪装，给别人一副她天天特别忙的样子，然后这个情况就这么持续了三年，我内心煎熬，不停的怀疑自己，是不是自己的原因', '直到现在，单位高层发生了变化，工作调整了，我也和她分开作为出纳，原以为可以轻松一点了，但是只要能和我挂点勾的，全部都扔给我，今天又安排一个事情，我说我工作也特别多。然后她直接说，那我去跟领导说，然后就去领导那边告状了，说我不愿意听她的话，领导找我说先让我干了，我回来觉得很有必要和会计谈谈，她高高在上的对我进行了一通洗脑，说觉得我没有集体荣誉感，财务工作是大家的工作，不是说某个工作一定是她会计的活，我们应该一起完成，说我工作态度很有问题，要转变，领导给我的工资翻倍了（这个事情有同事跟我讲过，说她不止一次在别人面前情绪激动说领导给我的工资太高了，我不配有这么高的工资）我就要干更多的工作才能对得起这份工资，她觉得我工作量并没有达到饱和的状态，完全可以见缝插针的干些别的工作，说我没有危机感，难道三十多岁了还要一直干出纳吗，她这是在让我学习更多的知识，如果我一直这样干会被别人替代，说以前那个同事都能干完的工作我为什么就干不完，她觉得以前那个同事工作态度就相当的好（其实以前这个同事就是被她搞走的，她在领导面前说这个同事除了贴票啥也不会），说另外的两个同事多忙多忙干工作怎么怎么利索。然后我真的被怼的哑口无言，觉得自己一无是处，好差，我不应该跟她争，是我错了，我应该把工作干了，现在让大领导也以为我不干工作，好难过，在办公室哭了好久。', '在单位的这些年，受尽了她这种方式的压迫，无数次怀疑自己，在崩溃中自我痊愈']	['我也遇到这种情况，有的人就是仗着自己在公司的资历各种给别人派活儿，甚至给老同志脸色且出言不逊，遇到要干活的情况躲到茶水间跟人闲聊，或者去上厕所。看得多了就习惯了，但这种习惯并不代表我们要逆来顺受得去接受这种pua，而是去思考一些巧妙的办法来应对。至于办法我觉得是见招拆招的，所以每次肯定都是不一样的，这是我们的新课题。', '反击呀！脸色特别好的说，我理解你的难，但是我想着工作真的很多，领导找你你就老实说你很忙，真的没办法，哎，会偷懒也好重要', '唉，嘴笨，每次都被怼的哑口无言的', '有时候就想踏踏实实干好自己工作就行，可是现在办公室太极拳也是工作很重要的一部分了，所以觉得上班好难呀', '同情~ 加油，卷si她']
明知道这是PUA 可是有点无法逃离	https://www.douban.com/group/topic/253188974/	['就像组里豆油说的，付出与回报不对等，还美其名曰锻炼你。这个时候就应该逃跑，可是因为我的工作偶尔的时候实在是既清闲又有事做，而且收入尚可，我到底该不该辞职呢？', '可是有时候受够了上司自以为是的教导，甚至和他人做比较，言语之间透露的傲慢和偏见。', '不想和任何人交流只想自己做自己的事。']	['对，完全不想和他们扯淡']
记一次成功的返职场PUA	https://www.douban.com/group/topic/251248936/	['记录自己，启迪他人']	['需要内容啊！！组长！', '我以为是创建话题 哈哈哈']
被领导pua半年，开始怀疑自己	https://www.douban.com/group/topic/251215503/	['入职半年，刚开始面试是被领导的花言巧语骗来的，说他是会想办法给员工们争取最充足的弹药，让同伴放心打仗的领导。结果，入职之后发现和面试沟通的完全不一致，岗位职能也非常混乱，我做了5年的内容方向，上一份工作是独立带过团队的。结果来了这份工作之后，没有一天是正儿八经做内容的，每天拓展新渠道，开店铺走流程，各种打杂。', '然后领导隔三差五找我聊天，说我能力不行，说做内容是最不值钱的，让我转方向，让我自己好好想想。', '每次和领导聊完天，都要自己缓好久，给自己打气加油，让自己恢复过来！这半年，真的磨的自己非常讨厌工作，每天上班地铁上就开始觉得压抑，喘不过来气！', '最可气的是，领导还说，没关系，你不出成绩，我也可以养着你，一直就让你这样，但是你自己不想发展吗？', '每天上班和上坟一样，现在想辞职，又怕自己真的如他所说，找不到工作怎么办，唉太难了……']	['我被pua完后怀疑自己是不是真的不适合干这行，和另外的同事业绩相差不大，另外同事被夸的这样不错那样不错，唯独自己被一直说这说那，还被贬的一无是处 ，现在离职了，已经开始怀疑自己的能力了', '抱抱，我也是，没有勇气辞职，还在挣扎']
拒绝pua，你这么好，是他不懂	https://www.douban.com/group/topic/250826707/	['入职半年，我觉得我躁郁症了，老板说我一无是处，看到她我话都不想讲，在他面前本来挺正常的谈话，我居然开始磕巴，这更让他我觉得我一无是处了。', '绩效面谈，我直接回答我觉得一般般，没有特别好的。毫无意外，我是1。嗯，接受，我觉得未来我也不会加薪了。', '运气守恒，肯定是我之前运气太好了，我之前可是年度绩效第四，小组第一啊～领导爱，同事宠，客户夸的小可爱啊，什么时候变成了眼袋大，面色沉，没底气的渣渣？客户说喜欢我，我觉得她在奉承我？姐姐问我涨薪了没，我觉得她在挖苦我？去tm的～', '如果你也有这种情绪，很久没听到夸奖？那我们一起来成立夸夸群，分享你的日常～我们一起赞美～告别苦闷，我们有彼此', 'vx：fdcstar2021']	['我也是每天被PUA，半年了，开始怀疑自己，觉得自己啥也不是😶', '换一种情绪，认识新的朋友', '加油，我现在进步了好多，我不需要你的认可', '嗯嗯，加油！', 'hhhhhhhh', '哪里好笑？不是心酸的眼泪？？？']
被说目前这个工作是能找到的最好的工作了了，找不到更好的工作了，是否是PUA	https://www.douban.com/group/topic/248451993/	['   本人女，肢体残疾，主要表现为走路步态不稳，走路不方便。学历是医学类的大专，目前的工作与所学专业毫无关系，此为前提。在一些谈话中，领导多次说，目前的工作应该是我能找到的最好的工作了，应该是找不到比这个更适合更好的工作了，这个算不算是PUA.']	['算，这不就是变相贬低你吗']
昨天绩效面谈被领导pua了	https://www.douban.com/group/topic/250677067/	['领导是那种只会挑你的缺点讲的，从没在她嘴里听过一句夸人的好话。总之就是绩效方方面面扣你分，即使明明做了好多倍工作她说否定就否定了，当初说调整绩效的承诺也没实现。整一个大失望。倒霉啊刚毕业就遇到这样的领导。搞得对工作一点热情都无了。还给我搞了很多任务……这位领导pua完人还发了个心情愉悦的朋友圈差点给我整吐了。我以前觉得她还挺好的，但是现在看真的一点人格魅力都无。在她眼中下属帮别的组干活是天经地义的。狗啊狗啊', '是不是公司没钱发年终了所以才想办法压低人的绩效？', '气死了好想扎小人']	[]
离职了两个多月后我意识到自己可能是被职场PUA了	https://www.douban.com/group/topic/230647073/	['说实话我觉得自己到现在都没走出这个怪圈出来 我是做开发的 之前在一家外包公司 刚开始一周加班四天 没有加班费 但我当时觉得工资还行就想着也可以接受 到了后期说是要出差 出差以后基本上就是天天到十二点 有的时候甚至要到一两点或者通宵 我和公司人事反应了这个情况 后来说是会给我们奖金作为补偿 但是我因为过度劳累然后在某一天直接犯了呼吸过度被送到医院了 说实话当时真心觉得很无助 一个人在外地然后被送到医院进行吸氧 外包的领导还不想承担责任 ', '后来我实在觉得这样下去不行 就走离职了 离职的时候人事说这个行业都是很辛苦的 说我如果承受不了其实可以考虑换一个行业发展 当时说实话我的身心都很疲惫 也无力反驳什么 后来我在家休息 每天也会学习也有想过要去找工作 但是一旦想到要去再次面试工作潜意识里又开始排斥 现在我甚至对于出门接触大量人群都开始有了排斥心理 我感觉我是被人事还有公司PUA了 但我该如何去调整自己呢']	['相信运气守恒定律，下一个公司和领导一定会很好的', '嗯嗯奥利给ଘ(੭ˊ꒳ˋ)੭✧', '被pua是会这样的，出去走走，和朋友聊聊，或者把自己的内心想法写下来，需要宣泄一下', '加油，下一个领导肯定超级好，公司也是，加油']
